#id, 楼层, 上/下按钮, 要去几层, 读取下一条数据间隔时间
148,4,UP,5,3
149,12,UP,16,6
150,5,UP,15,2
151,11,UP,18,5
152,23,DOWN,22,2
153,7,UP,24,6
154,21,DOWN,2,6
155,6,UP,10,5
156,4,UP,8,5
157,24,DOWN,7,5
158,2,UP,19,3
159,15,DOWN,10,1
160,14,DOWN,3,1
161,11,DOWN,4,5
162,19,DOWN,16,6
163,20,DOWN,3,5
164,6,DOWN,4,1
165,14,UP,23,5
166,15,DOWN,7,3
167,8,DOWN,5,4
168,2,UP,18,6
169,3,UP,6,4
170,14,DOWN,1,4
171,19,DOWN,18,6
172,19,DOWN,7,3
173,4,UP,6,4
174,8,DOWN,4,4
175,4,UP,16,5
176,18,DOWN,14,6
177,12,UP,21,4
178,21,DOWN,19,4
179,13,UP,14,4
180,10,UP,14,6
181,1,UP,7,3
182,14,UP,22,6
183,15,UP,23,2
184,5,UP,17,5
185,18,UP,23,1
186,7,UP,8,2
187,2,UP,15,3
188,12,UP,21,4
189,13,UP,18,4
190,10,UP,23,3
191,12,DOWN,3,3
192,4,UP,19,4
193,23,DOWN,1,6
194,14,DOWN,2,2
195,19,UP,24,2
196,2,UP,10,2
197,2,DOWN,1,4
198,16,UP,23,1
199,8,UP,12,1
200,18,DOWN,1,6
201,22,DOWN,5,5
202,12,UP,13,1
203,12,DOWN,11,2
204,10,UP,21,5
205,5,UP,18,2
206,5,UP,18,5
207,17,UP,19,4
208,19,DOWN,11,6
209,4,UP,14,4
210,4,UP,16,6
211,16,DOWN,14,1
212,14,UP,15,5
213,23,DOWN,19,6
214,6,UP,7,2
215,7,DOWN,4,1
216,17,UP,19,4
217,18,UP,20,5
218,9,DOWN,2,2
219,13,UP,14,4
220,15,DOWN,1,5
221,13,UP,24,5
222,3,UP,11,4
223,22,DOWN,17,6
224,22,DOWN,13,5
225,15,UP,22,2
226,13,UP,19,2
227,20,DOWN,15,2
228,19,UP,21,1
229,19,DOWN,10,2
230,7,DOWN,1,1
231,22,DOWN,16,3
232,24,DOWN,22,5
233,8,UP,20,2
234,5,UP,6,6
235,23,DOWN,8,2
236,22,DOWN,13,2
237,17,DOWN,8,4
238,14,DOWN,10,4
239,22,DOWN,18,2
240,14,UP,22,6
241,9,UP,16,5
242,20,DOWN,5,1
243,5,UP,9,2
244,18,UP,20,5
245,2,UP,14,2
246,23,DOWN,21,4
247,9,UP,15,4
248,9,UP,14,6
249,2,UP,23,3
250,12,UP,16,1
251,13,UP,14,1
252,24,DOWN,3,4
253,17,DOWN,2,4
254,19,DOWN,6,2
255,19,DOWN,11,2
256,20,DOWN,18,5
257,18,DOWN,14,2
258,6,UP,13,2
259,17,UP,18,6
260,5,UP,16,3
261,12,DOWN,2,1
262,13,DOWN,1,3
263,3,UP,13,6
264,21,DOWN,15,5
265,14,UP,22,2
266,22,DOWN,8,5
267,19,UP,22,3
268,22,DOWN,15,1
269,12,UP,23,1
270,8,DOWN,7,3
271,18,DOWN,3,5
272,18,DOWN,4,4
273,9,DOWN,1,5
274,9,UP,19,2
275,17,UP,24,4
276,5,DOWN,4,1
277,10,DOWN,6,3
278,13,UP,23,6
279,17,DOWN,7,6
280,5,DOWN,3,2
281,19,DOWN,11,2
282,22,DOWN,21,4
283,20,UP,21,2
284,3,UP,13,2
285,2,UP,18,2
286,19,DOWN,12,3
287,6,UP,22,6
288,10,DOWN,7,5
289,22,DOWN,2,5
290,9,DOWN,6,2
291,3,UP,8,4
292,4,UP,11,6
293,10,UP,19,6
294,14,DOWN,12,2
295,6,UP,12,6
296,20,UP,22,4
297,2,UP,23,4
298,3,UP,8,5
299,11,DOWN,8,4
300,7,UP,24,1
301,2,UP,11,1
302,17,UP,21,6
303,10,DOWN,2,3
304,20,UP,24,2
305,23,DOWN,4,6
306,12,UP,14,1
307,1,UP,23,3
308,11,DOWN,9,1
309,20,DOWN,5,1
310,20,DOWN,1,3
311,12,UP,17,1
312,19,DOWN,5,2
313,2,UP,20,5
314,3,UP,23,3
315,20,DOWN,6,5
316,12,UP,20,3
317,20,DOWN,13,5
318,16,UP,18,2
319,18,DOWN,5,2
320,11,DOWN,1,5
321,21,DOWN,15,2
322,24,DOWN,10,5
323,22,DOWN,11,6
324,20,DOWN,17,1
325,23,DOWN,3,4
326,22,DOWN,5,3
327,17,DOWN,4,1
328,11,DOWN,1,2
329,11,UP,12,3
330,17,UP,18,4
331,3,UP,12,1
332,11,UP,12,3
333,23,UP,24,2
334,4,UP,9,5
335,1,UP,20,2
336,16,DOWN,6,4
337,24,DOWN,13,3
338,19,DOWN,2,5
339,7,UP,10,6
340,1,UP,7,2
341,12,DOWN,8,4
342,8,UP,16,6
343,22,DOWN,1,5
344,13,UP,24,6
345,11,DOWN,7,4
346,21,DOWN,16,3
347,19,DOWN,15,1
348,23,DOWN,11,2
349,10,UP,14,3
350,20,DOWN,3,1
351,4,UP,21,6
352,5,UP,10,3
353,13,UP,16,2
354,2,UP,13,1
355,23,DOWN,17,5
356,18,DOWN,7,3
357,17,UP,20,3
358,17,UP,24,5
359,16,DOWN,6,3
360,20,DOWN,19,6
361,2,UP,24,5
362,20,DOWN,2,4
363,7,DOWN,5,6
364,24,DOWN,14,2
365,6,UP,18,6
366,5,UP,14,2
367,13,DOWN,4,4
368,2,UP,12,2
369,9,UP,19,6
370,19,UP,20,3
371,21,DOWN,20,6
372,20,DOWN,10,2
373,18,DOWN,13,6
374,7,UP,21,1
375,2,UP,10,1
376,8,DOWN,5,5
377,7,DOWN,6,5
378,14,DOWN,6,6
379,3,UP,22,5
380,15,DOWN,7,6
381,3,UP,23,6
382,19,DOWN,3,1
383,9,UP,18,6
384,24,DOWN,21,4
385,1,UP,3,5
386,19,DOWN,8,1
387,20,DOWN,3,3
388,17,DOWN,13,6
389,3,UP,12,3
390,10,UP,19,3
391,17,DOWN,12,2
392,5,UP,21,3
393,5,UP,7,3
394,22,DOWN,12,3
395,20,DOWN,10,3
396,15,UP,21,2
397,16,DOWN,8,3
398,16,DOWN,15,6
399,5,UP,6,4
400,16,UP,18,6
401,4,UP,12,4
402,10,UP,20,3
403,18,DOWN,10,6
404,13,DOWN,9,2
405,8,UP,18,2
406,14,UP,24,5
407,16,UP,17,1
408,8,UP,23,3
409,19,DOWN,18,1
410,14,DOWN,10,2
411,4,UP,13,1
412,14,UP,23,3
413,7,UP,16,1
414,14,UP,20,5
415,22,DOWN,19,5
416,22,DOWN,8,1
417,23,DOWN,9,6
418,10,UP,19,5
419,10,DOWN,6,5
420,12,UP,24,1
421,6,UP,21,6
422,23,DOWN,13,5
423,21,DOWN,19,2
424,5,UP,6,3
425,3,UP,13,4
426,6,UP,7,5
427,14,DOWN,13,1
428,19,DOWN,16,2
429,13,DOWN,4,6
430,10,DOWN,6,5
431,5,UP,20,1
432,23,DOWN,21,4
433,19,DOWN,2,4
434,11,DOWN,10,5
435,13,UP,22,1
436,23,DOWN,12,5
437,6,DOWN,4,6
438,1,UP,8,1
439,23,DOWN,3,4
440,15,UP,22,1
441,4,UP,24,4
442,4,UP,17,5
443,21,DOWN,6,4
444,20,DOWN,15,5
445,19,DOWN,5,5
446,24,DOWN,20,2
447,24,DOWN,15,2
448,12,UP,21,1
449,23,UP,24,4
450,5,DOWN,4,3
451,7,UP,13,2
452,3,UP,18,5
453,1,UP,17,1
454,12,DOWN,5,1
455,20,DOWN,9,6
456,23,DOWN,4,5
457,13,UP,21,6
458,18,DOWN,9,1
459,5,UP,7,5
460,6,UP,19,1
461,4,UP,20,6
462,3,UP,18,1
463,18,DOWN,9,1
464,11,DOWN,3,2
465,20,DOWN,1,4
466,14,DOWN,8,3
467,1,UP,15,3
468,7,UP,11,6
469,5,UP,16,4
470,5,UP,7,1
471,17,DOWN,10,5
472,10,UP,13,6
473,19,DOWN,9,3
474,19,DOWN,16,3
475,15,DOWN,1,6
476,5,UP,18,4
477,20,DOWN,9,5
478,16,UP,18,4
479,18,UP,22,5
480,7,DOWN,5,5
481,13,DOWN,11,6
482,14,DOWN,12,1
483,5,UP,19,2
484,12,UP,22,5
485,6,UP,21,5
486,21,DOWN,19,2
487,3,UP,8,4
488,20,DOWN,12,6
489,2,UP,11,3
490,7,UP,18,2
491,19,DOWN,8,5
492,4,UP,10,2
493,14,UP,16,6
494,11,UP,16,2
495,18,UP,22,3
496,16,DOWN,15,1
497,7,DOWN,1,4
498,22,DOWN,6,1
499,24,DOWN,10,5
500,21,DOWN,7,4
501,15,UP,22,4
502,13,UP,19,4
503,14,DOWN,12,1
504,2,UP,18,1
505,21,DOWN,17,1
506,22,DOWN,6,6
507,2,DOWN,1,6
508,6,UP,24,4
509,22,DOWN,8,5
510,21,DOWN,8,1
511,24,DOWN,1,2
512,14,UP,19,3
513,15,DOWN,2,2
514,20,DOWN,16,6
515,1,UP,24,4
516,9,UP,24,5
517,13,DOWN,5,4
518,4,UP,20,5
519,20,DOWN,9,5
520,6,UP,19,5
521,1,UP,24,5
522,1,UP,9,1
523,21,DOWN,9,1
524,10,DOWN,6,6
525,22,DOWN,1,4
526,23,DOWN,17,1
527,16,DOWN,13,4
528,20,UP,22,5
529,8,UP,13,5
530,18,UP,21,3
531,16,DOWN,2,3
532,20,DOWN,10,1
533,18,DOWN,9,6
534,9,UP,16,3
535,18,UP,20,2
536,7,UP,21,6
537,8,UP,13,1
538,22,DOWN,8,4
539,15,UP,17,2
540,9,UP,14,4
541,7,UP,14,5
542,7,UP,24,5
543,15,UP,17,6
544,15,DOWN,7,1
545,20,DOWN,15,6
546,12,DOWN,3,3
547,17,DOWN,13,4
548,7,UP,19,2
549,1,UP,20,6
550,5,UP,18,3
551,23,UP,24,3
552,13,DOWN,1,2
553,20,UP,21,6
554,23,DOWN,14,2
555,15,DOWN,14,2
556,20,UP,22,5
557,1,UP,18,3
558,12,UP,24,4
559,22,DOWN,8,2
560,6,UP,16,1
561,15,DOWN,8,6
562,13,UP,22,1
563,21,DOWN,10,4
564,10,UP,13,2
565,1,UP,23,2
566,12,DOWN,8,3
567,6,DOWN,2,1
568,8,UP,18,2
569,10,UP,22,4
570,18,DOWN,8,5
571,8,UP,13,1
572,10,UP,16,4
573,10,UP,13,5
574,17,DOWN,8,6
575,14,UP,23,2
576,10,UP,17,3
577,8,UP,14,4
578,16,DOWN,4,6
579,15,DOWN,4,1
580,9,DOWN,1,3
581,24,DOWN,19,1
582,16,DOWN,15,4
583,13,UP,22,4
584,8,UP,17,6
585,17,DOWN,11,2
586,4,UP,22,6
587,1,UP,3,1
588,12,DOWN,2,2
589,15,DOWN,1,3
590,19,DOWN,2,3
591,9,UP,11,5
592,4,UP,5,3
593,18,DOWN,4,3
594,3,UP,8,6
595,22,DOWN,15,1
596,24,DOWN,21,2
597,24,DOWN,12,4
598,7,DOWN,1,3
599,4,UP,16,4
600,5,UP,22,3
601,13,UP,20,1
602,7,DOWN,1,4
603,5,UP,15,3
604,5,UP,23,3
605,14,DOWN,1,2
606,24,DOWN,13,5
607,9,UP,20,2
608,3,UP,21,6
609,2,UP,6,3
610,16,DOWN,1,6
611,12,UP,16,2
612,4,UP,14,2
613,21,DOWN,10,2
614,10,DOWN,2,2
615,3,UP,4,1
616,18,DOWN,15,1
617,10,DOWN,2,2
618,23,DOWN,21,4
619,12,DOWN,4,2
620,3,UP,18,6
621,3,DOWN,1,2
622,5,DOWN,4,5
623,18,DOWN,6,5
624,7,UP,16,2
625,23,DOWN,15,4
626,9,UP,17,3
627,3,UP,12,6
628,23,DOWN,15,2
629,8,UP,22,5
630,7,UP,10,1
631,14,DOWN,1,1
632,1,UP,8,5
633,15,UP,24,4
634,2,UP,8,1
635,11,UP,16,6
636,1,UP,23,3
637,21,DOWN,12,3
638,14,DOWN,5,6
639,1,UP,7,3
640,10,UP,24,1
641,16,UP,24,2
642,10,DOWN,1,5
643,6,UP,10,3
644,10,DOWN,3,5
645,15,DOWN,9,5
646,12,DOWN,8,4
647,7,UP,12,6
648,20,UP,21,5
649,3,UP,14,2
650,12,UP,19,3
651,5,UP,7,2
652,7,DOWN,2,6
653,12,DOWN,11,2
654,18,UP,24,1
655,24,DOWN,13,2
656,21,DOWN,10,3
657,4,UP,17,1
658,3,UP,16,4
659,3,UP,7,6
660,23,DOWN,15,4
661,19,DOWN,4,2
662,21,DOWN,20,2
663,19,DOWN,18,5
664,12,UP,16,2
665,7,DOWN,6,4
666,4,UP,12,2
667,5,UP,17,4
668,24,DOWN,6,2
669,6,UP,7,6
670,21,DOWN,5,6
671,3,UP,12,1
672,2,UP,24,5
673,3,UP,14,4
674,15,DOWN,14,6
675,11,UP,16,2
676,22,DOWN,13,5
677,18,DOWN,10,4
678,10,DOWN,6,4
679,13,UP,24,1
680,10,UP,22,2
681,17,DOWN,11,5
682,12,DOWN,8,3
683,17,DOWN,9,1
684,6,UP,10,6
685,11,DOWN,6,2
686,3,UP,9,2
687,3,UP,24,4
688,23,DOWN,20,2
689,15,UP,22,4
690,9,DOWN,8,3
691,2,UP,20,5
692,2,UP,17,3
693,19,DOWN,11,4
694,20,DOWN,17,4
695,12,UP,18,2
696,3,UP,24,3
697,2,UP,17,6
698,9,DOWN,8,6
699,21,UP,24,1
700,6,UP,14,3
701,22,DOWN,21,5
702,2,UP,12,1
703,22,DOWN,19,6
704,2,UP,11,3
705,6,UP,11,1
706,18,UP,23,3
707,20,DOWN,4,5
708,24,DOWN,22,4
709,10,DOWN,1,4
710,15,DOWN,10,4
711,12,UP,22,2
712,8,UP,18,5
713,9,UP,23,5
714,12,UP,14,2
715,12,UP,22,6
716,2,UP,10,1
717,12,UP,13,6
718,24,DOWN,14,2
719,12,UP,15,1
720,4,UP,24,3
721,4,UP,9,3
722,16,UP,17,2
723,19,UP,23,3
724,20,DOWN,11,5
725,23,DOWN,4,4
726,13,DOWN,3,3
727,22,DOWN,2,4
728,3,UP,22,6
729,9,DOWN,8,1
730,3,UP,11,2
731,18,DOWN,10,5
732,20,DOWN,6,5
733,17,UP,22,5
734,16,DOWN,9,4
735,9,DOWN,4,6
736,1,UP,3,5
737,9,UP,18,2
738,4,UP,12,4
739,18,DOWN,8,6
740,11,UP,20,3
741,18,UP,23,5
742,5,UP,13,1
743,1,UP,14,2
744,9,UP,10,3
745,20,UP,22,1
746,22,DOWN,21,6
747,4,UP,9,5
748,21,DOWN,3,3
749,10,DOWN,4,1
750,21,DOWN,18,1
751,19,DOWN,11,4
752,12,DOWN,9,1
753,1,UP,17,5
754,4,UP,19,5
755,8,UP,14,3
756,3,UP,10,3
757,4,UP,18,5
758,9,UP,22,6
759,22,DOWN,6,3
760,14,DOWN,12,6
761,21,DOWN,1,1
762,3,UP,20,5
763,3,UP,23,3
764,24,DOWN,8,2
765,13,UP,19,5
766,10,UP,14,4
767,5,UP,20,4
768,2,UP,22,4
769,2,UP,15,2
770,3,UP,9,6
771,24,DOWN,8,6
772,20,DOWN,4,1
773,12,UP,24,5
774,22,DOWN,2,5
775,14,DOWN,4,6
776,14,DOWN,8,2
777,5,UP,20,2
778,16,DOWN,6,5
779,11,UP,13,4
780,19,DOWN,11,4
781,10,UP,22,6
782,7,UP,8,6
783,11,DOWN,9,2
784,11,DOWN,1,5
785,20,DOWN,14,3
786,19,DOWN,16,3
787,7,UP,20,3
788,1,UP,11,4
789,11,DOWN,5,4
790,10,UP,24,5
791,21,DOWN,15,5
792,1,UP,9,5
793,14,UP,20,3
794,8,UP,23,4
795,2,UP,21,6
796,24,DOWN,11,4
797,6,UP,16,2
798,1,UP,17,5
799,3,UP,20,5
800,7,UP,13,4
801,17,DOWN,5,6
802,20,UP,22,5
803,17,UP,23,4
804,22,DOWN,2,2
805,10,UP,12,3
806,4,UP,15,1
807,9,DOWN,3,5
808,1,UP,8,6
809,13,UP,18,5
810,13,UP,17,6
811,11,UP,13,3
812,2,UP,3,3
813,9,DOWN,7,6
814,16,UP,24,4
815,10,DOWN,6,1
816,10,UP,22,2
817,16,UP,23,5
818,20,DOWN,5,1
819,2,UP,17,1
820,5,DOWN,4,2
821,9,UP,17,2
822,2,UP,3,6
823,23,DOWN,18,2
824,2,UP,12,1
825,5,UP,17,2
826,21,DOWN,11,1
827,18,DOWN,4,6
828,4,UP,11,2
829,15,UP,20,4
830,19,UP,24,3
831,14,UP,22,4
832,16,UP,19,6
833,12,UP,17,4
834,3,UP,14,5
835,8,UP,10,5
836,11,UP,24,5
837,19,DOWN,6,6
838,13,DOWN,4,6
839,22,DOWN,19,6
840,15,DOWN,3,5
841,7,UP,14,3
842,23,DOWN,1,4
843,5,UP,17,2
844,2,UP,6,4
845,7,UP,21,3
846,18,DOWN,3,3
847,21,DOWN,4,3
848,4,UP,24,4
849,7,UP,20,1
850,1,UP,18,1
851,10,DOWN,1,4
852,3,UP,16,4
853,24,DOWN,12,2
854,4,UP,19,1
855,21,DOWN,10,4
856,16,UP,18,3
857,18,DOWN,13,2
858,10,DOWN,4,6
859,12,UP,14,2
860,12,UP,23,4
861,11,UP,24,1
862,9,UP,14,6
863,14,UP,21,3
864,19,DOWN,2,4
865,14,DOWN,8,3
866,12,DOWN,5,6
867,6,UP,11,2
868,2,UP,3,1
869,2,UP,15,3
870,13,DOWN,9,5
871,23,DOWN,14,2
872,2,UP,14,5
873,10,DOWN,6,3
874,10,DOWN,2,6
875,21,DOWN,2,5
876,16,DOWN,3,3
877,19,DOWN,5,4
878,12,DOWN,9,5
879,12,UP,14,3
880,18,UP,23,6
881,18,UP,21,5
882,4,UP,20,5
883,16,UP,21,1
884,11,DOWN,5,1
885,7,UP,10,6
886,15,UP,22,3
887,10,DOWN,8,3
888,7,DOWN,1,4
889,2,UP,22,1
890,17,UP,18,1
891,3,UP,24,4
892,2,UP,18,2
893,8,UP,16,1
894,6,UP,10,4
895,23,DOWN,8,3
896,10,DOWN,2,2
897,18,DOWN,3,6
898,20,UP,24,1
899,23,DOWN,20,5
900,14,DOWN,3,2
901,3,UP,13,1
902,1,UP,4,6
903,19,DOWN,4,3
904,12,DOWN,4,1
905,12,DOWN,9,5
906,2,UP,13,4
907,2,UP,21,3
908,21,DOWN,6,3
909,18,UP,24,6
910,16,DOWN,4,3
911,19,DOWN,8,1
912,9,UP,12,2
913,1,UP,22,6
914,10,UP,11,6
915,9,DOWN,2,3
916,18,DOWN,2,6
917,18,DOWN,16,2
918,1,UP,5,5
919,2,UP,5,2
920,12,UP,21,4
921,6,DOWN,3,5
922,20,DOWN,19,1
923,1,UP,17,5
924,12,UP,16,1
925,20,DOWN,4,1
926,6,DOWN,5,3
927,1,UP,3,2
928,11,DOWN,9,5
929,24,DOWN,18,1
930,5,UP,9,6
931,14,UP,18,4
932,9,UP,22,5
933,10,DOWN,9,6
934,9,UP,13,6
935,18,DOWN,10,3
936,7,UP,24,5
937,7,DOWN,1,4
938,4,UP,24,1
939,1,UP,17,2
940,18,UP,23,1
941,19,DOWN,8,2
942,19,DOWN,1,3
943,13,DOWN,12,5
944,3,UP,19,4
945,10,DOWN,3,4
946,23,DOWN,10,1
947,6,UP,21,6
948,13,DOWN,2,4
949,3,UP,15,3
950,7,DOWN,6,2
951,24,DOWN,15,3
952,3,UP,24,6
953,3,UP,6,3
954,7,UP,13,3
955,21,UP,22,3
956,23,DOWN,18,5
957,14,DOWN,10,6
958,3,UP,24,5
959,17,DOWN,14,3
960,21,DOWN,17,3
961,15,DOWN,11,4
962,13,UP,24,1
963,10,UP,15,5
964,3,DOWN,2,1
965,6,DOWN,1,2
966,4,UP,10,5
967,10,UP,12,6
968,6,UP,23,4
969,9,UP,17,2
970,8,UP,10,3
971,17,UP,21,4
972,23,DOWN,13,1
973,24,DOWN,12,6
974,2,UP,9,1
975,11,DOWN,3,1
976,20,DOWN,10,6
977,17,UP,24,5
978,4,DOWN,1,4
979,18,DOWN,10,1
980,1,UP,3,3
981,12,UP,23,4
982,11,DOWN,9,5
983,8,UP,13,4
984,5,UP,16,6
985,17,DOWN,1,4
986,2,UP,18,1
987,4,UP,24,3
988,7,DOWN,3,4
989,9,UP,10,1
990,13,DOWN,1,1
991,20,UP,21,1
992,18,DOWN,4,6
993,8,DOWN,5,3
994,11,UP,14,1
995,17,DOWN,8,3
996,13,UP,15,6
997,22,DOWN,10,2
998,12,UP,13,5
999,24,DOWN,1,6
1000,21,DOWN,20,4
1001,13,DOWN,9,1
1002,16,UP,22,3
1003,21,DOWN,16,5
1004,1,UP,23,1
1005,21,UP,22,3
1006,11,UP,17,1
1007,22,DOWN,17,3
1008,3,UP,17,4
1009,12,DOWN,3,2
1010,12,DOWN,11,1
1011,11,DOWN,5,3
1012,9,UP,13,1
1013,24,DOWN,12,2
1014,11,UP,20,1
1015,17,DOWN,10,6
1016,18,DOWN,8,1
1017,5,UP,11,4
1018,2,UP,3,4
1019,21,DOWN,15,3
1020,6,UP,21,2
1021,3,UP,10,2
1022,8,UP,22,4
1023,4,UP,23,5
1024,2,UP,21,5
1025,21,DOWN,13,1
1026,21,DOWN,6,5
1027,6,UP,8,2
1028,13,DOWN,5,2
1029,21,DOWN,20,2
1030,13,UP,15,6
1031,3,UP,16,6
1032,1,UP,2,3
1033,20,DOWN,18,2
1034,10,UP,21,3
1035,21,DOWN,11,3
1036,17,DOWN,7,6
1037,15,DOWN,14,2
1038,17,UP,19,2
1039,21,DOWN,13,2
1040,19,DOWN,6,2
1041,19,DOWN,3,3
1042,15,DOWN,6,5
1043,17,DOWN,8,4
1044,3,UP,12,4
1045,1,UP,6,5
1046,1,UP,23,3
1047,10,UP,11,1
1048,7,UP,23,1
1049,3,UP,23,1
1050,22,DOWN,2,2
1051,13,DOWN,4,4
1052,3,UP,4,5
1053,21,DOWN,17,2
1054,2,UP,7,4
1055,3,UP,4,4
1056,3,UP,24,3
1057,3,UP,6,2
1058,17,UP,21,1
1059,24,DOWN,1,4
1060,12,DOWN,5,1
1061,16,DOWN,14,2
1062,4,UP,8,1
1063,1,UP,14,2
1064,1,UP,18,4
1065,1,UP,15,1
1066,6,UP,20,5
1067,12,DOWN,6,1
1068,4,UP,10,1
1069,17,DOWN,5,2
1070,21,DOWN,17,1
1071,14,DOWN,5,5
1072,4,UP,17,6
1073,24,DOWN,14,4
1074,10,UP,23,6
1075,7,UP,15,3
1076,17,UP,20,1
1077,17,DOWN,5,4
1078,15,DOWN,9,1
1079,1,UP,11,5
1080,18,DOWN,17,4
1081,1,UP,9,4
1082,17,UP,23,4
1083,4,UP,15,5
1084,24,DOWN,11,1
1085,23,DOWN,4,2
1086,7,DOWN,6,3
1087,15,DOWN,6,3
1088,1,UP,15,6
1089,5,DOWN,1,4
1090,4,UP,21,2
1091,20,DOWN,13,5
1092,24,DOWN,16,1
1093,11,UP,21,4
1094,24,DOWN,13,1
1095,8,UP,13,1
1096,8,UP,19,3
1097,20,UP,23,2
1098,2,UP,14,2
1099,14,DOWN,10,6
1100,16,DOWN,1,5
1101,14,DOWN,10,3
1102,2,DOWN,1,2
1103,16,DOWN,1,2
1104,17,UP,23,1
1105,2,UP,16,4
1106,18,DOWN,14,3
1107,10,UP,17,1
1108,3,UP,11,1
1109,21,DOWN,17,2
1110,12,DOWN,2,6
1111,16,DOWN,4,4
1112,6,UP,17,6
1113,1,UP,23,1
1114,8,UP,9,2
1115,5,UP,19,1
1116,24,DOWN,8,6
1117,24,DOWN,11,3
1118,19,UP,21,4
1119,13,DOWN,9,1
1120,21,DOWN,4,3
1121,11,DOWN,3,3
1122,3,DOWN,1,6
1123,15,UP,23,4
1124,10,DOWN,7,4
1125,17,DOWN,3,6
1126,5,DOWN,3,3
1127,18,DOWN,9,3
1128,19,UP,22,4
1129,17,DOWN,6,3
1130,20,DOWN,11,6
1131,22,DOWN,19,2
1132,5,UP,21,6
1133,8,DOWN,3,6
1134,18,DOWN,12,5
1135,19,DOWN,7,3
1136,2,UP,10,2
1137,10,UP,12,4
1138,23,DOWN,14,1
1139,15,UP,19,5
1140,6,UP,11,2
1141,11,UP,13,4
1142,11,UP,14,5
1143,18,DOWN,6,5
1144,15,DOWN,1,3
1145,10,UP,18,3
1146,12,UP,13,2
1147,15,DOWN,3,4
1148,19,UP,21,2
1149,24,DOWN,6,2
1150,7,UP,14,2
1151,1,UP,16,2
